Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_monthBatchRetrain,Home_monthBatchRetrain,Away_monthBatchRetrain,ActualWinner_monthBatchRetrain,PredictedWinner_monthBatchRetrain,ActualSpread_monthBatchRetrain,PredictedSpread_monthBatchRetrain,SpreadError_monthBatchRetrain,Correct_monthBatchRetrain,HomePoints_monthBatchRetrain,AwayPoints_monthBatchRetrain,PredictedHomePoints_monthBatchRetrain,PredictedAwayPoints_monthBatchRetrain
2024-10-25,Orlando Magic,Brooklyn Nets,Orlando Magic,Orlando Magic,15.0,10.1,4.9,True,116.0,101.0,114.6,104.5,2024-11-01,Portland Trail Blazers,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,23.0,10.2,12.8,True,114.0,137.0,109.9,120.1
2024-10-25,Toronto Raptors,Philadelphia 76ers,Toronto Raptors,Toronto Raptors,8.0,4.9,3.0999999999999996,True,115.0,107.0,113.6,108.7,2024-11-01,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves,3.0,0.3,2.7,True,119.0,116.0,131.1,130.7
2024-10-25,Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Atlanta Hawks,5.0,2.3,2.7,True,125.0,120.0,122.8,120.5,2024-11-01,New Orleans Pelicans,Indiana Pacers,New Orleans Pelicans,New Orleans Pelicans,7.0,6.2,0.7999999999999998,True,125.0,118.0,124.9,118.7
2024-10-25,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,Cleveland Cavaliers,12.0,7.1,4.9,True,113.0,101.0,110.3,103.2,2024-11-01,Toronto Raptors,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,6.0,0.9,5.1,True,125.0,131.0,120.7,121.6
2024-10-25,New York Knicks,Indiana Pacers,New York Knicks,New York Knicks,25.0,28.0,3.0,True,123.0,98.0,122.6,94.6,2024-11-01,Detroit Pistons,New York Knicks,New York Knicks,New York Knicks,30.0,9.1,20.9,True,98.0,128.0,105.6,114.7
2024-10-25,Houston Rockets,Memphis Grizzlies,Houston Rockets,Houston Rockets,20.0,18.4,1.6000000000000014,True,128.0,108.0,126.1,107.7,2024-11-01,Atlanta Hawks,Sacramento Kings,Sacramento Kings,Sacramento Kings,8.0,1.8,6.2,True,115.0,123.0,118.8,120.6
2024-10-25,Milwaukee Bucks,Chicago Bulls,Chicago Bulls,Chicago Bulls,11.0,12.7,1.6999999999999993,True,122.0,133.0,117.8,130.5,2024-11-01,Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers,Cleveland Cavaliers,11.0,11.5,0.5,True,120.0,109.0,120.4,108.9
2024-10-25,Utah Jazz,Golden State Warriors,Golden State Warriors,Golden State Warriors,41.0,45.9,4.899999999999999,True,86.0,127.0,80.8,126.8,2024-11-01,Charlotte Hornets,Boston Celtics,Boston Celtics,Boston Celtics,15.0,6.9,8.1,True,109.0,124.0,125.0,131.9
2024-10-25,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Los Angeles Lakers,7.0,7.1,0.09999999999999964,True,123.0,116.0,120.7,113.7,2024-11-01,Brooklyn Nets,Chicago Bulls,Brooklyn Nets,Chicago Bulls,8.0,4.5,3.5,False,120.0,112.0,118.2,122.7
2024-10-25,Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,2.0,1.8,0.19999999999999996,True,103.0,105.0,106.3,108.1,2024-11-02,Washington Wizards,Miami Heat,Miami Heat,Miami Heat,20.0,6.8,13.2,True,98.0,118.0,111.1,117.8
2024-10-26,Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers,Los Angeles Lakers,4.0,5.8,1.7999999999999998,True,131.0,127.0,129.6,123.8,2024-11-02,Los Angeles Clippers,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,13.0,10.3,2.6999999999999993,True,92.0,105.0,104.4,114.6
2024-10-26,Phoenix Suns,Dallas Mavericks,Phoenix Suns,Phoenix Suns,12.0,10.9,1.0999999999999996,True,114.0,102.0,114.5,103.6,2024-11-02,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Phoenix Suns,6.0,7.2,1.2000000000000002,True,103.0,97.0,110.1,102.9
2024-10-26,San Antonio Spurs,Houston Rockets,San Antonio Spurs,San Antonio Spurs,3.0,4.9,1.9000000000000004,True,109.0,106.0,110.3,105.4,2024-11-02,Denver Nuggets,Utah Jazz,Denver Nuggets,Denver Nuggets,26.0,12.1,13.9,True,129.0,103.0,117.2,105.1
2024-10-26,Chicago Bulls,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,19.0,22.3,3.3000000000000007,True,95.0,114.0,93.4,115.7,2024-11-02,San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,10.0,4.2,5.8,True,113.0,103.0,108.4,104.2
2024-10-26,Minnesota Timberwolves,Toronto Raptors,Minnesota Timberwolves,Minnesota Timberwolves,11.0,8.8,2.1999999999999993,True,112.0,101.0,110.5,101.6,2024-11-02,Charlotte Hornets,Boston Celtics,Boston Celtics,Boston Celtics,10.0,7.7,2.3,True,103.0,113.0,119.8,127.5
2024-10-26,Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,5.0,4.6,0.40000000000000036,True,104.0,109.0,104.7,109.2,2024-11-02,Houston Rockets,Golden State Warriors,Golden State Warriors,Golden State Warriors,6.0,12.2,6.199999999999999,True,121.0,127.0,116.3,128.5
2024-10-26,Charlotte Hornets,Miami Heat,Miami Heat,Miami Heat,8.0,9.1,1.0999999999999996,True,106.0,114.0,103.8,113.0,2024-11-02,Toronto Raptors,Sacramento Kings,Toronto Raptors,Sacramento Kings,3.0,1.7,1.3,False,131.0,128.0,116.6,118.3
