Date,Team,basic_MP,basic_FG,basic_FGA,basic_FG%,basic_3P,basic_3PA,basic_3P%,basic_FT,basic_FTA,basic_FT%,basic_ORB,basic_DRB,basic_TRB,basic_AST,basic_STL,basic_BLK,basic_TOV,basic_PF,basic_PTS,advanced_MP,advanced_TS%,advanced_eFG%,advanced_3PAr,advanced_FTr,advanced_ORB%,advanced_DRB%,advanced_TRB%,advanced_AST%,advanced_STL%,advanced_BLK%,advanced_TOV%,advanced_USG%,advanced_ORtg,advanced_DRtg
2024-10-26,Memphis Grizzlies,240.0,46.0,86.0,0.535,13.0,34.0,0.382,19.0,24.0,0.792,6.0,36.0,42.0,38.0,10.0,5.0,18.0,24.0,124.0,240.0,0.642,0.61,0.395,0.279,17.1,75.0,50.6,82.6,9.5,12.8,15.7,100.0,118.0,105.7
2024-10-26,Orlando Magic,240.0,37.0,87.0,0.425,17.0,48.0,0.354,20.0,28.0,0.714,12.0,29.0,41.0,21.0,10.0,6.0,19.0,20.0,111.0,240.0,0.559,0.523,0.552,0.322,25.0,82.9,49.4,56.8,9.5,11.5,16.1,100.0,105.7,118.0
2024-10-27,Atlanta Hawks,240.0,36.0,91.0,0.396,10.0,31.0,0.323,22.0,29.0,0.759,17.0,32.0,49.0,24.0,7.0,4.0,20.0,23.0,104.0,240.0,0.501,0.451,0.341,0.319,33.3,74.4,52.1,66.7,6.9,8.2,16.2,100.0,102.7,126.4
2024-10-27,Brooklyn Nets,240.0,39.0,91.0,0.429,16.0,45.0,0.356,21.0,23.0,0.913,12.0,35.0,47.0,23.0,9.0,3.0,12.0,26.0,115.0,240.0,0.569,0.516,0.495,0.253,25.0,83.3,52.2,59.0,9.2,7.3,10.6,100.0,117.7,104.4
2024-10-27,Golden State Warriors,240.0,38.0,88.0,0.432,14.0,43.0,0.326,14.0,22.0,0.636,14.0,33.0,47.0,19.0,10.0,5.0,21.0,22.0,104.0,240.0,0.532,0.511,0.489,0.25,29.2,70.2,49.5,50.0,9.8,8.6,17.7,100.0,101.9,109.8
2024-10-27,Indiana Pacers,265.0,39.0,84.0,0.464,13.0,32.0,0.406,23.0,34.0,0.676,7.0,30.0,37.0,28.0,8.0,4.0,20.0,26.0,114.0,265.0,0.576,0.542,0.381,0.405,17.1,60.0,40.7,71.8,7.4,7.1,16.8,100.0,105.6,109.4
2024-10-27,Los Angeles Clippers,240.0,42.0,90.0,0.467,10.0,32.0,0.313,18.0,23.0,0.783,14.0,34.0,48.0,27.0,11.0,2.0,18.0,21.0,112.0,240.0,0.559,0.522,0.356,0.256,29.8,70.8,50.5,64.3,10.8,4.4,15.2,100.0,109.8,101.9
2024-10-27,Milwaukee Bucks,240.0,33.0,74.0,0.446,10.0,33.0,0.303,26.0,31.0,0.839,7.0,36.0,43.0,20.0,7.0,3.0,18.0,17.0,102.0,240.0,0.582,0.514,0.446,0.419,16.7,75.0,47.8,60.6,7.2,6.5,17.0,100.0,104.4,117.7
2024-10-27,New Orleans Pelicans,240.0,38.0,88.0,0.432,8.0,29.0,0.276,19.0,24.0,0.792,15.0,24.0,39.0,24.0,9.0,8.0,17.0,22.0,103.0,240.0,0.523,0.477,0.33,0.273,34.1,52.2,43.3,63.2,9.3,13.8,14.7,100.0,107.0,129.8
2024-10-27,Oklahoma City Thunder,240.0,44.0,89.0,0.494,16.0,40.0,0.4,24.0,32.0,0.75,11.0,34.0,45.0,26.0,13.0,12.0,10.0,23.0,128.0,240.0,0.621,0.584,0.449,0.36,25.6,66.7,47.9,59.1,12.8,20.0,8.8,100.0,126.4,102.7
