Date,Team,home_basic_MP,home_basic_FG,home_basic_FGA,home_basic_FG%,home_basic_3P,home_basic_3PA,home_basic_3P%,home_basic_FT,home_basic_FTA,home_basic_FT%,home_basic_ORB,home_basic_DRB,home_basic_TRB,home_basic_AST,home_basic_STL,home_basic_BLK,home_basic_TOV,home_basic_PF,home_basic_PTS,home_advanced_MP,home_advanced_TS%,home_advanced_eFG%,home_advanced_3PAr,home_advanced_FTr,home_advanced_ORB%,home_advanced_DRB%,home_advanced_TRB%,home_advanced_AST%,home_advanced_STL%,home_advanced_BLK%,home_advanced_TOV%,home_advanced_USG%,home_advanced_ORtg,home_advanced_DRtg
2024-10-25,Orlando Magic,240,39,75,0.52,15,30,0.5,23,33,0.697,5,34,39,28,10,7,13,19,116,240,0.648,0.62,0.4,0.44,14.7,81.0,51.3,71.8,10.2,15.2,12.7,100.0,118.3,103.0
2024-10-25,Toronto Raptors,240,35,76,0.461,6,23,0.261,39,46,0.848,18,36,54,25,11,13,27,34,115,240,0.597,0.5,0.303,0.605,50.0,78.3,65.9,71.4,10.9,27.7,21.9,100.0,114.0,106.1
2024-10-25,Atlanta Hawks,240,39,81,0.481,14,38,0.368,33,38,0.868,7,32,39,25,11,9,14,28,125,240,0.64,0.568,0.469,0.469,18.4,59.3,42.4,64.1,10.9,20.0,12.5,100.0,123.4,118.5
2024-10-25,Cleveland Cavaliers,240,42,82,0.512,13,34,0.382,16,23,0.696,5,34,39,28,13,4,13,15,113,240,0.613,0.591,0.415,0.28,12.8,81.0,48.1,66.7,13.0,8.2,12.4,100.0,113.1,101.1
2024-10-25,New York Knicks,240,44,84,0.524,12,27,0.444,23,29,0.793,11,32,43,19,5,4,12,18,123,240,0.636,0.595,0.321,0.345,31.4,78.0,56.6,43.2,5.2,7.5,11.0,100.0,128.6,102.5
2024-10-25,Houston Rockets,240,43,98,0.439,17,43,0.395,25,36,0.694,23,41,64,20,10,4,19,32,128,240,0.562,0.526,0.439,0.367,44.2,74.5,59.8,46.5,9.3,6.3,14.3,100.0,118.9,100.3
2024-10-25,Milwaukee Bucks,240,46,93,0.495,13,40,0.325,17,25,0.68,8,39,47,24,5,3,15,14,122,240,0.587,0.565,0.43,0.269,17.8,81.3,50.5,52.2,4.7,6.1,12.6,100.0,113.9,124.2
2024-10-25,Utah Jazz,240,29,92,0.315,9,42,0.214,19,26,0.731,14,31,45,18,8,5,22,11,86,240,0.416,0.364,0.457,0.283,25.5,62.0,42.9,62.1,7.7,8.9,17.5,100.0,82.6,122.0
2024-10-25,Los Angeles Lakers,240,40,75,0.533,14,27,0.519,29,39,0.744,6,31,37,33,10,5,13,18,123,240,0.667,0.627,0.36,0.52,17.1,86.1,52.1,82.5,10.2,11.1,12.4,100.0,124.9,117.7
2024-10-25,Portland Trail Blazers,240,37,90,0.411,13,37,0.351,16,20,0.8,10,38,48,26,7,11,20,22,103,240,0.521,0.483,0.411,0.222,23.3,77.6,52.2,70.3,6.8,20.4,16.8,100.0,100.4,102.3
2024-10-26,Denver Nuggets,240,35,87,0.402,14,35,0.4,20,24,0.833,10,27,37,20,13,4,10,22,104,240,0.533,0.483,0.402,0.276,23.3,71.1,45.7,57.1,13.8,8.2,9.3,100.0,110.6,115.9
2024-10-26,Washington Wizards,240,37,96,0.385,15,43,0.349,27,32,0.844,18,28,46,25,6,9,15,25,116,240,0.527,0.464,0.448,0.333,32.7,71.8,48.9,67.6,5.7,18.4,12.0,100.0,110.8,129.0
2024-10-26,Detroit Pistons,240,43,88,0.489,14,39,0.359,18,22,0.818,9,35,44,27,4,7,15,22,118,240,0.604,0.568,0.443,0.25,27.3,72.9,54.3,62.8,4.1,16.7,13.3,100.0,120.7,126.8
2024-10-26,Charlotte Hornets,240,39,89,0.438,13,41,0.317,15,21,0.714,15,31,46,20,6,5,20,24,106,240,0.539,0.511,0.461,0.236,33.3,70.5,51.7,51.3,6.1,9.6,16.9,100.0,108.0,116.2
2024-10-26,Memphis Grizzlies,240,46,86,0.535,13,34,0.382,19,24,0.792,6,36,42,38,10,5,18,24,124,240,0.642,0.61,0.395,0.279,17.1,75.0,50.6,82.6,9.5,12.8,15.7,100.0,118.0,105.7
2024-10-26,Minnesota Timberwolves,240,39,83,0.47,14,37,0.378,20,26,0.769,9,32,41,29,9,8,13,16,112,240,0.593,0.554,0.446,0.313,20.9,72.7,47.1,74.4,9.1,13.1,12.1,100.0,113.4,102.3
2024-10-26,Chicago Bulls,240,32,92,0.348,15,53,0.283,16,22,0.727,11,50,61,23,6,2,26,19,95,240,0.467,0.429,0.576,0.239,19.6,84.7,53.0,71.9,5.2,3.0,20.4,100.0,82.9,99.5
2024-10-26,San Antonio Spurs,240,39,79,0.494,8,20,0.4,23,28,0.821,10,39,49,23,6,7,17,18,109,240,0.597,0.544,0.253,0.354,27.8,83.0,59.0,59.0,6.1,13.7,15.7,100.0,110.7,107.7
2024-10-26,Phoenix Suns,240,36,80,0.45,14,39,0.359,28,37,0.757,7,40,47,26,3,4,11,17,114,240,0.592,0.538,0.488,0.463,17.1,76.9,50.5,72.2,3.1,7.7,10.3,100.0,118.1,105.6
2024-10-26,Los Angeles Lakers,240,48,92,0.522,14,34,0.412,21,24,0.875,13,32,45,32,8,3,19,19,131,240,0.639,0.598,0.37,0.261,32.5,86.5,58.4,66.7,7.6,6.8,15.6,100.0,124.1,120.3
2024-10-27,Indiana Pacers,265,39,84,0.464,13,32,0.406,23,34,0.676,7,30,37,28,8,4,20,26,114,265,0.576,0.542,0.381,0.405,17.1,60.0,40.7,71.8,7.4,7.1,16.8,100.0,105.6,109.4
2024-10-27,Portland Trail Blazers,240,43,93,0.462,14,35,0.4,25,32,0.781,22,29,51,25,9,8,16,21,125,240,0.584,0.538,0.376,0.344,47.8,65.9,56.7,58.1,9.3,13.6,13.0,100.0,129.8,107.0
2024-10-27,Brooklyn Nets,240,39,91,0.429,16,45,0.356,21,23,0.913,12,35,47,23,9,3,12,26,115,240,0.569,0.516,0.495,0.253,25.0,83.3,52.2,59.0,9.2,7.3,10.6,100.0,117.7,104.4
2024-10-27,Oklahoma City Thunder,240,44,89,0.494,16,40,0.4,24,32,0.75,11,34,45,26,13,12,10,23,128,240,0.621,0.584,0.449,0.36,25.6,66.7,47.9,59.1,12.8,20.0,8.8,100.0,126.4,102.7
2024-10-27,Golden State Warriors,240,38,88,0.432,14,43,0.326,14,22,0.636,14,33,47,19,10,5,21,22,104,240,0.532,0.511,0.489,0.25,29.2,70.2,49.5,50.0,9.8,8.6,17.7,100.0,101.9,109.8
2024-10-28,Orlando Magic,240,39,83,0.47,13,41,0.317,28,38,0.737,11,35,46,26,7,6,15,25,119,240,0.597,0.548,0.494,0.458,27.5,70.0,51.1,66.7,7.1,10.2,13.1,100.0,120.1,116.1
2024-10-28,Atlanta Hawks,240,39,81,0.481,15,40,0.375,26,36,0.722,6,33,39,32,12,7,16,22,119,240,0.614,0.574,0.494,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,100.0,112.8,114.7
2024-10-28,Boston Celtics,240,43,87,0.494,18,47,0.383,15,19,0.789,4,34,38,24,5,5,14,18,119,240,0.624,0.598,0.54,0.218,10.3,81.0,46.9,55.8,4.9,9.8,12.8,100.0,115.5,104.9
2024-10-28,Toronto Raptors,265,49,109,0.45,10,35,0.286,17,21,0.81,18,36,54,30,7,7,15,27,125,265,0.529,0.495,0.321,0.193,32.7,70.6,50.9,61.2,6.4,9.2,11.3,100.0,113.7,115.5
2024-10-28,Miami Heat,240,38,88,0.432,15,47,0.319,15,20,0.75,10,34,44,24,14,3,12,14,106,240,0.548,0.517,0.534,0.227,22.2,64.2,44.9,63.2,14.8,5.7,11.0,100.0,111.9,103.5
2024-10-28,New York Knicks,240,40,90,0.444,9,28,0.321,15,18,0.833,13,30,43,22,8,3,16,21,104,240,0.531,0.494,0.311,0.2,28.9,76.9,51.2,55.0,8.3,6.5,14.0,100.0,107.9,114.2
2024-10-28,San Antonio Spurs,240,37,87,0.425,10,33,0.303,17,21,0.81,17,32,49,22,6,6,17,21,101,240,0.525,0.483,0.379,0.241,36.2,71.1,53.3,59.5,6.5,12.5,15.0,100.0,109.7,115.1
2024-10-28,Memphis Grizzlies,240,51,111,0.459,14,43,0.326,7,13,0.538,18,42,60,37,5,9,10,21,123,240,0.527,0.523,0.387,0.117,31.6,79.2,54.5,72.5,4.8,19.1,7.9,100.0,117.4,120.3
2024-10-28,Dallas Mavericks,240,43,95,0.453,11,39,0.282,13,17,0.765,13,37,50,27,9,12,14,23,110,240,0.537,0.511,0.411,0.179,27.1,71.2,50.0,62.8,8.9,21.1,12.0,100.0,109.2,101.3
2024-10-28,Sacramento Kings,240,37,81,0.457,14,35,0.4,23,25,0.92,9,31,40,25,8,6,16,27,111,240,0.603,0.543,0.432,0.309,20.9,72.1,46.5,67.6,8.2,9.8,14.8,100.0,113.4,100.1
2024-10-28,Phoenix Suns,240,40,87,0.46,11,36,0.306,18,20,0.9,9,37,46,21,7,11,11,22,109,240,0.569,0.523,0.414,0.23,20.5,77.1,50.0,52.5,7.2,17.7,10.3,100.0,111.6,107.5
2024-10-29,Brooklyn Nets,265,49,96,0.51,20,52,0.385,21,27,0.778,7,34,41,37,4,6,9,32,139,265,0.644,0.615,0.542,0.281,17.1,79.1,48.8,75.5,3.8,9.7,7.7,100.0,132.1,136.9
2024-10-29,Minnesota Timberwolves,240,39,77,0.506,19,39,0.487,17,26,0.654,11,31,42,33,5,2,20,20,114,240,0.645,0.63,0.506,0.338,28.2,72.1,51.2,84.6,5.2,3.7,18.4,100.0,118.9,125.1
2024-10-29,Utah Jazz,240,35,89,0.393,14,48,0.292,12,14,0.857,12,30,42,24,7,4,17,16,96,240,0.504,0.472,0.539,0.157,23.1,76.9,46.2,68.6,7.1,6.6,15.2,100.0,97.5,114.7
2024-10-29,Golden State Warriors,240,46,97,0.474,21,46,0.457,11,13,0.846,11,23,34,34,15,9,8,20,124,240,0.604,0.582,0.474,0.134,23.9,71.9,43.6,73.9,15.4,17.3,7.2,100.0,127.5,109.0
2024-10-30,Philadelphia 76ers,240,33,79,0.418,8,28,0.286,21,28,0.75,8,29,37,17,7,4,9,21,95,240,0.52,0.468,0.354,0.354,17.8,70.7,43.0,51.5,7.7,9.5,9.0,100.0,104.9,116.0
2024-10-30,Washington Wizards,240,47,89,0.528,16,38,0.421,23,25,0.92,6,31,37,32,10,5,16,21,133,240,0.665,0.618,0.427,0.281,17.1,72.1,47.4,68.1,9.4,8.9,13.8,100.0,125.0,112.8
2024-10-30,Indiana Pacers,265,50,104,0.481,15,38,0.395,20,24,0.833,16,41,57,33,10,5,19,26,135,265,0.589,0.553,0.365,0.231,32.7,69.5,52.8,66.0,8.8,9.6,14.2,100.0,118.5,115.8
2024-10-30,Cleveland Cavaliers,240,56,97,0.577,17,41,0.415,5,8,0.625,6,30,36,37,14,2,12,26,134,240,0.667,0.665,0.423,0.082,15.8,85.7,49.3,66.1,13.3,4.1,10.7,100.0,127.3,104.5
2024-10-30,Charlotte Hornets,240,49,94,0.521,20,45,0.444,20,25,0.8,14,24,38,31,9,8,16,24,138,240,0.657,0.628,0.479,0.266,33.3,64.9,48.1,63.3,8.7,12.7,13.2,100.0,133.8,128.9
2024-10-30,Miami Heat,240,37,81,0.457,17,40,0.425,16,24,0.667,7,32,39,27,6,3,10,17,107,240,0.584,0.562,0.494,0.296,16.7,82.1,48.1,73.0,6.5,7.1,9.8,100.0,115.2,124.9
2024-10-30,Chicago Bulls,240,36,84,0.429,13,34,0.382,17,25,0.68,9,45,54,23,6,2,15,16,102,240,0.537,0.506,0.405,0.298,20.0,88.2,56.3,63.9,6.1,5.0,13.6,100.0,102.9,99.8
2024-10-30,Memphis Grizzlies,240,38,81,0.469,8,27,0.296,22,29,0.759,12,26,38,27,9,3,22,21,106,240,0.565,0.519,0.333,0.358,31.6,76.5,52.8,71.1,9.0,7.7,19.0,100.0,106.4,119.4
2024-10-30,Oklahoma City Thunder,240,41,89,0.461,17,41,0.415,6,8,0.75,5,34,39,28,18,6,14,15,105,240,0.567,0.556,0.461,0.09,11.4,72.3,42.9,68.3,18.2,12.2,13.1,100.0,106.2,94.1
2024-10-30,Golden State Warriors,240,41,87,0.471,13,38,0.342,9,13,0.692,13,29,42,32,5,9,14,22,104,240,0.561,0.546,0.437,0.149,29.5,61.7,46.2,78.0,5.5,16.7,13.1,100.0,114.7,98.2
2024-10-30,Los Angeles Clippers,240,41,90,0.456,13,36,0.361,10,18,0.556,13,36,49,26,10,5,14,19,105,240,0.536,0.528,0.4,0.2,27.1,75.0,51.0,63.4,10.4,8.5,12.5,100.0,108.7,109.8
2024-10-31,Memphis Grizzlies,240,43,82,0.524,8,28,0.286,28,31,0.903,7,49,56,26,6,3,17,21,122,240,0.638,0.573,0.341,0.378,19.4,84.5,59.6,60.5,5.8,5.6,15.1,100.0,117.4,95.3
2024-10-31,Dallas Mavericks,240,39,85,0.459,10,30,0.333,14,20,0.7,10,27,37,21,6,7,10,27,102,240,0.544,0.518,0.353,0.235,23.8,60.0,42.5,53.8,6.5,11.1,9.6,100.0,110.5,117.0
2024-10-31,Utah Jazz,240,32,82,0.39,7,32,0.219,17,19,0.895,15,38,53,19,6,6,26,19,88,240,0.487,0.433,0.39,0.232,32.6,77.6,55.8,59.4,6.1,12.2,22.3,100.0,89.2,107.4
2024-10-31,Los Angeles Clippers,240,45,93,0.484,12,35,0.343,17,21,0.81,15,33,48,27,8,8,14,22,119,240,0.582,0.548,0.376,0.226,32.6,80.5,55.2,60.0,8.2,18.6,12.0,100.0,121.7,127.9
2024-11-01,Charlotte Hornets,240,42,91,0.462,19,48,0.396,6,12,0.5,12,30,42,20,5,5,16,26,109,240,0.566,0.566,0.527,0.132,28.6,73.2,50.6,47.6,5.2,11.4,14.3,100.0,112.4,127.9
2024-11-01,Cleveland Cavaliers,240,44,87,0.506,15,38,0.395,17,20,0.85,7,42,49,25,6,4,13,21,120,240,0.626,0.592,0.437,0.23,17.9,85.7,55.7,56.8,5.8,7.0,11.9,100.0,116.6,105.9
2024-11-01,Detroit Pistons,240,41,81,0.506,11,34,0.324,5,7,0.714,6,32,38,23,6,9,22,12,98,240,0.583,0.574,0.42,0.086,15.4,72.7,45.8,56.1,6.0,14.3,20.7,100.0,98.0,128.1
2024-11-01,Atlanta Hawks,240,41,92,0.446,19,50,0.38,14,18,0.778,8,32,40,30,8,4,13,22,115,240,0.575,0.549,0.543,0.196,16.3,76.2,44.0,73.2,7.7,7.1,11.5,100.0,111.3,119.1
2024-11-01,Brooklyn Nets,240,49,94,0.521,11,36,0.306,11,13,0.846,9,37,46,34,11,6,11,20,120,240,0.602,0.58,0.383,0.138,20.9,78.7,51.1,69.4,10.9,13.6,9.9,100.0,118.6,110.7
2024-11-01,Toronto Raptors,240,52,107,0.486,10,35,0.286,11,13,0.846,15,29,44,35,4,6,11,29,125,240,0.554,0.533,0.327,0.121,30.6,76.3,50.6,67.3,3.8,10.7,8.9,100.0,120.2,126.0
2024-11-01,New Orleans Pelicans,240,49,101,0.485,12,31,0.387,15,19,0.789,15,31,46,28,8,4,8,15,125,240,0.572,0.545,0.307,0.188,31.3,83.8,54.1,57.1,8.0,7.8,6.8,100.0,125.0,118.0
2024-11-01,Minnesota Timberwolves,240,43,83,0.518,18,42,0.429,15,18,0.833,8,30,38,34,8,9,17,22,119,240,0.654,0.627,0.506,0.217,21.6,63.8,45.2,79.1,8.1,15.0,15.8,100.0,120.9,117.9
2024-11-01,Portland Trail Blazers,240,39,83,0.47,15,35,0.429,21,31,0.677,11,25,36,27,8,5,19,17,114,240,0.59,0.56,0.422,0.373,26.2,64.1,44.4,69.2,8.0,10.9,16.4,100.0,113.6,136.5
2024-11-02,Charlotte Hornets,240,40,91,0.44,17,42,0.405,6,9,0.667,7,27,34,24,10,1,13,25,103,240,0.542,0.533,0.462,0.099,16.3,77.1,43.6,60.0,10.2,3.3,12.0,100.0,105.3,115.5
2024-11-02,Philadelphia 76ers,240,36,89,0.404,19,46,0.413,16,20,0.8,8,25,33,22,11,5,14,19,107,240,0.547,0.511,0.517,0.225,16.3,69.4,38.8,61.1,10.9,8.3,12.5,100.0,106.3,123.1
