,Date,Away,AwayPoints,Home,HomePoints,HomeAbbreviation,AwayAbbreviation,GameUrl,A_Team,B_Team,Winner,PointDifferential
0,2025-03-31,Utah Jazz,106,Charlotte Hornets,110,CHO,UTA,https://www.basketball-reference.com/boxscores/202503310CHO.html,Charlotte Hornets,Utah Jazz,Home,4
1,2025-03-31,Sacramento Kings,109,Indiana Pacers,111,IND,SAC,https://www.basketball-reference.com/boxscores/202503310IND.html,Indiana Pacers,Sacramento Kings,Home,2
2,2025-03-31,Los Angeles Clippers,96,Orlando Magic,87,ORL,LAC,https://www.basketball-reference.com/boxscores/202503310ORL.html,Los Angeles Clippers,Orlando Magic,Away,-9
3,2025-03-31,Miami Heat,120,Washington Wizards,94,WAS,MIA,https://www.basketball-reference.com/boxscores/202503310WAS.html,Miami Heat,Washington Wizards,Away,-26
4,2025-03-31,Boston Celtics,117,Memphis Grizzlies,103,MEM,BOS,https://www.basketball-reference.com/boxscores/202503310MEM.html,Boston Celtics,Memphis Grizzlies,Away,-14
5,2025-03-31,Chicago Bulls,117,Oklahoma City Thunder,145,OKC,CHI,https://www.basketball-reference.com/boxscores/202503310OKC.html,Chicago Bulls,Oklahoma City Thunder,Home,28
6,2025-03-31,Brooklyn Nets,113,Dallas Mavericks,109,DAL,BRK,https://www.basketball-reference.com/boxscores/202503310DAL.html,Brooklyn Nets,Dallas Mavericks,Away,-4
7,2025-03-31,Houston Rockets,98,Los Angeles Lakers,104,LAL,HOU,https://www.basketball-reference.com/boxscores/202503310LAL.html,Houston Rockets,Los Angeles Lakers,Home,6
8,2024-10-25,Brooklyn Nets,101,Orlando Magic,116,ORL,BRK,https://www.basketball-reference.com/boxscores/202410250ORL.html,Brooklyn Nets,Orlando Magic,Home,15
9,2024-10-25,Philadelphia 76ers,107,Toronto Raptors,115,TOR,PHI,https://www.basketball-reference.com/boxscores/202410250TOR.html,Philadelphia 76ers,Toronto Raptors,Home,8
10,2024-10-25,Charlotte Hornets,120,Atlanta Hawks,125,ATL,CHO,https://www.basketball-reference.com/boxscores/202410250ATL.html,Atlanta Hawks,Charlotte Hornets,Home,5
11,2024-10-25,Detroit Pistons,101,Cleveland Cavaliers,113,CLE,DET,https://www.basketball-reference.com/boxscores/202410250CLE.html,Cleveland Cavaliers,Detroit Pistons,Home,12
12,2024-10-25,Indiana Pacers,98,New York Knicks,123,NYK,IND,https://www.basketball-reference.com/boxscores/202410250NYK.html,Indiana Pacers,New York Knicks,Home,25
13,2024-10-25,Memphis Grizzlies,108,Houston Rockets,128,HOU,MEM,https://www.basketball-reference.com/boxscores/202410250HOU.html,Houston Rockets,Memphis Grizzlies,Home,20
