,Date,Away,AwayPoints,Home,HomePoints
10,2024-12-02,New Orleans Pelicans,,Atlanta Hawks,
11,2024-12-02,Miami Heat,,Boston Celtics,
12,2024-12-02,Brooklyn Nets,,Chicago Bulls,
13,2024-12-02,Los Angeles Lakers,,Minnesota Timberwolves,
14,2024-12-03,Philadelphia 76ers,,Charlotte Hornets,
15,2024-12-03,Washington Wizards,,Cleveland Cavaliers,
16,2024-12-03,Milwaukee Bucks,,Detroit Pistons,
17,2024-12-03,Orlando Magic,,New York Knicks,
18,2024-12-03,Indiana Pacers,,Toronto Raptors,
19,2024-12-03,Utah Jazz,,Oklahoma City Thunder,
20,2024-12-03,Memphis Grizzlies,,Dallas Mavericks,
21,2024-12-03,San Antonio Spurs,,Phoenix Suns,
22,2024-12-03,Golden State Warriors,,Denver Nuggets,
23,2024-12-03,Houston Rockets,,Sacramento Kings,
24,2024-12-03,Portland Trail Blazers,,Los Angeles Clippers,
25,2024-12-04,Detroit Pistons,,Boston Celtics,
26,2024-12-04,Indiana Pacers,,Brooklyn Nets,
27,2024-12-04,Los Angeles Lakers,,Miami Heat,
28,2024-12-04,Orlando Magic,,Philadelphia 76ers,
29,2024-12-04,Atlanta Hawks,,Milwaukee Bucks,
30,2024-12-04,Minnesota Timberwolves,,Los Angeles Clippers,
31,2024-12-05,Denver Nuggets,,Cleveland Cavaliers,
32,2024-12-05,Dallas Mavericks,,Washington Wizards,
33,2024-12-05,Charlotte Hornets,,New York Knicks,
34,2024-12-05,Oklahoma City Thunder,,Toronto Raptors,
35,2024-12-05,Sacramento Kings,,Memphis Grizzlies,
36,2024-12-05,Phoenix Suns,,New Orleans Pelicans,
37,2024-12-05,Chicago Bulls,,San Antonio Spurs,
38,2024-12-05,Houston Rockets,,Golden State Warriors,
39,2024-12-06,Orlando Magic,,Philadelphia 76ers,
40,2024-12-06,Los Angeles Lakers,,Atlanta Hawks,
41,2024-12-06,Milwaukee Bucks,,Boston Celtics,
42,2024-12-06,Indiana Pacers,,Chicago Bulls,
43,2024-12-06,Sacramento Kings,,San Antonio Spurs,
44,2024-12-06,Minnesota Timberwolves,,Golden State Warriors,
45,2024-12-06,Utah Jazz,,Portland Trail Blazers,
46,2024-12-07,Cleveland Cavaliers,,Charlotte Hornets,
47,2024-12-07,Oklahoma City Thunder,,New Orleans Pelicans,
48,2024-12-07,Denver Nuggets,,Washington Wizards,
49,2024-12-07,Detroit Pistons,,New York Knicks,
50,2024-12-07,Dallas Mavericks,,Toronto Raptors,
51,2024-12-07,Memphis Grizzlies,,Boston Celtics,
52,2024-12-07,Phoenix Suns,,Miami Heat,
53,2024-12-08,Philadelphia 76ers,,Chicago Bulls,
54,2024-12-08,Milwaukee Bucks,,Brooklyn Nets,
55,2024-12-08,Charlotte Hornets,,Indiana Pacers,
56,2024-12-08,Denver Nuggets,,Atlanta Hawks,
57,2024-12-08,Cleveland Cavaliers,,Miami Heat,
58,2024-12-08,Phoenix Suns,,Orlando Magic,
59,2024-12-08,New Orleans Pelicans,,San Antonio Spurs,
60,2024-12-08,Memphis Grizzlies,,Washington Wizards,
61,2024-12-08,Minnesota Timberwolves,,Golden State Warriors,
62,2024-12-08,Houston Rockets,,Los Angeles Clippers,
63,2024-12-08,Utah Jazz,,Sacramento Kings,
64,2024-12-08,Portland Trail Blazers,,Los Angeles Lakers,
65,2024-12-09,New York Knicks,,Toronto Raptors,
66,2024-12-19,Utah Jazz,,Detroit Pistons,
67,2024-12-19,Oklahoma City Thunder,,Orlando Magic,
68,2024-12-19,Charlotte Hornets,,Washington Wizards,
69,2024-12-19,Chicago Bulls,,Boston Celtics,
70,2024-12-19,Brooklyn Nets,,Toronto Raptors,
71,2024-12-19,New Orleans Pelicans,,Houston Rockets,
72,2024-12-19,Golden State Warriors,,Memphis Grizzlies,
73,2024-12-19,Atlanta Hawks,,San Antonio Spurs,
74,2024-12-19,Los Angeles Clippers,,Dallas Mavericks,
75,2024-12-19,Indiana Pacers,,Phoenix Suns,
76,2024-12-19,New York Knicks,,Minnesota Timberwolves,
77,2024-12-19,Denver Nuggets,,Portland Trail Blazers,
78,2024-12-19,Los Angeles Lakers,,Sacramento Kings,
79,2024-12-20,Charlotte Hornets,,Philadelphia 76ers,
80,2024-12-20,Milwaukee Bucks,,Cleveland Cavaliers,
81,2024-12-20,Oklahoma City Thunder,,Miami Heat,
82,2024-12-21,Los Angeles Lakers,,Sacramento Kings,
83,2024-12-21,Miami Heat,,Orlando Magic,
84,2024-12-21,Memphis Grizzlies,,Atlanta Hawks,
85,2024-12-21,Utah Jazz,,Brooklyn Nets,
86,2024-12-21,Boston Celtics,,Chicago Bulls,
87,2024-12-21,Philadelphia 76ers,,Cleveland Cavaliers,
88,2024-12-21,Washington Wizards,,Milwaukee Bucks,
89,2024-12-21,Golden State Warriors,,Minnesota Timberwolves,
90,2024-12-21,New York Knicks,,New Orleans Pelicans,
91,2024-12-21,Los Angeles Clippers,,Dallas Mavericks,
92,2024-12-21,Portland Trail Blazers,,San Antonio Spurs,
93,2024-12-21,Detroit Pistons,,Phoenix Suns,
94,2024-12-22,Indiana Pacers,,Sacramento Kings,
95,2024-12-22,Houston Rockets,,Toronto Raptors,
96,2024-12-22,Denver Nuggets,,New Orleans Pelicans,
